id_a,name_a,ctry_a,id_b,name_b,ctry_b,km,same_forecast
2519068,Quart de Poblet,ES,2513811,Mislata,ES,1.94,True
2990264,Nogent-sur-Oise,FR,3022610,Creil,FR,1.94,True
7284825,Budapest IX. keruelet,HU,7284827,Budapest VII. keruelet,HU,1.95,False
2998305,Limeil-Brevannes,FR,3031898,Boissy-Saint-Leger,FR,1.95,False
2968054,Vincennes,FR,2978621,Saint-Mande,FR,1.95,True
4711801,Missouri City,US,4734005,Stafford,US,1.95,True
4191124,Decatur,US,4212992,North Decatur,US,1.95,True
5392034,San Gabriel,US,5323060,Alhambra,US,1.95,True
3017341,Franconville,FR,3019897,Ermont,FR,1.95,True
2659667,Meyrin,CH,2658154,Vernier,CH,1.95,True
3019897,Ermont,FR,3020601,Eaubonne,FR,1.95,True
4168139,Pembroke Pines,US,4164601,Miramar,US,1.95,True
2978891,Saint-Laurent-du-Var,FR,3029227,Cagnes-sur-Mer,FR,1.96,True
2992090,Montreuil,FR,3035403,Bagnolet,FR,1.96,True
2968482,Villepinte,FR,2974681,Sevran,FR,1.96,True
3992619,Piedras Negras,MX,5520677,Eagle Pass,US,1.96,False
3172472,Mugnano di Napoli,IT,3174021,Marano di Napoli,IT,1.96,True
3621849,San Jose,CR,3624174,Colima,CR,1.96,True
2271473,Arrentela,PT,2271680,Amora,PT,1.97,True
4161625,Lauderhill,US,4168782,Plantation,US,1.97,True
2985034,Puteaux,FR,3023141,Courbevoie,FR,1.97,True
2983026,Romainville,FR,3032179,Bobigny,FR,1.97,True
2618425,Copenhagen,DK,2621942,Frederiksberg,DK,1.97,True
1863426,Haebaru,JP,1863495,Gushikawa,JP,1.97,True
347591,Talkha,EG,360761,Al Mansurah,EG,1.97,True
2658656,Zuerich (Kreis 11) / Seebach,CH,6295533,Zuerich (Kreis 11),CH,1.97,True
3621819,San Juan,CR,3624509,Calle Blancos,CR,1.97,True
2654710,Brighton,GB,2646504,Hove,GB,1.97,True
5097357,Dumont,US,5101766,New Milford,US,1.98,True
4848489,Bettendorf,US,4902476,Moline,US,1.98,True
4317639,Bossier City,US,4341513,Shreveport,US,1.98,True
5327455,Belmont,US,5391760,San Carlos,US,1.98,True
5349803,Foothill Farms,US,5377640,North Highlands,US,1.98,True
2990616,Neuilly-Plaisance,FR,3017910,Fontenay-sous-Bois,FR,1.98,False
3583102,Sonsonate,SV,3583098,Sonzacate,SV,1.98,True
7284823,Budapest XII. keruelet,HU,3054643,Budapest,HU,1.99,True
2975469,Sceaux,FR,3002650,Le Plessis-Robinson,FR,1.99,True
2990611,Neuilly-sur-Seine,FR,2998975,Levallois-Perret,FR,1.99,True
5116508,Elmont,US,5129248,North Valley Stream,US,1.99,True
2468245,Carthage,TN,2473540,Al Marsa,TN,2.0,True
